positive  	{'Negative Emotion': 0, 'Positive Emotion': 15.0, 'liwc:positive': 1, 'UNI_awesome': 0.05, 'UNI_place': 0.05, 'UNI_eat': 0.05, 'UNI_friendly': 0.05, 'UNI_service': 0.05, 'UNI_i': 0.05, 'UNI_would': 0.05, 'UNI_return': 0.05, 'UNI_anytime': 0.05, 'UNI_tuesdays': 0.05, 'UNI_live': 0.05, 'UNI_music': 0.05, 'UNI_ca': 0.05, "UNI_n't": 0.05, 'UNI_beat': 0.05, 'UNI_the': 0.05, 'UNI_food': 0.05, 'UNI_great': 0.05, 'UNI_drinks': 0.05, 'UNI_strong': 0.05}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 11.538461538461538, 'liwc:positive': 1, 'UNI_great': 0.038461538461538464, 'UNI_food': 0.038461538461538464, 'UNI_we': 0.07692307692307693, 'UNI_went': 0.038461538461538464, 'UNI_slow': 0.038461538461538464, 'UNI_time': 0.038461538461538464, 'UNI_i': 0.07692307692307693, 'UNI_think': 0.038461538461538464, 'UNI_got': 0.038461538461538464, 'UNI_extra': 0.038461538461538464, 'UNI_attention': 0.038461538461538464, 'UNI_good': 0.038461538461538464, 'UNI_prices': 0.038461538461538464, 'UNI_shared': 0.038461538461538464, 'UNI_blackened': 0.038461538461538464, 'UNI_chicken': 0.038461538461538464, 'UNI_crab': 0.038461538461538464, 'UNI_cakes': 0.038461538461538464, 'UNI_vodoo': 0.038461538461538464, 'UNI_crawfish': 0.038461538461538464, 'UNI_everything': 0.038461538461538464, 'UNI_excellent': 0.038461538461538464, 'UNI_definitely': 0.038461538461538464, 'UNI_go': 0.038461538461538464}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 4.3478260869565215, 'liwc:positive': 1, 'UNI_funky': 0.043478260869565216, 'UNI_darkly': 0.043478260869565216, 'UNI_decorated': 0.043478260869565216, 'UNI_mid': 0.043478260869565216, 'UNI_town': 0.043478260869565216, 'UNI_restaurant': 0.043478260869565216, 'UNI_wine': 0.043478260869565216, 'UNI_list': 0.043478260869565216, 'UNI_provides': 0.043478260869565216, 'UNI_many': 0.08695652173913043, 'UNI_selections': 0.043478260869565216, 'UNI_30': 0.043478260869565216, 'UNI_tapas': 0.043478260869565216, 'UNI_provide': 0.043478260869565216, 'UNI_options': 0.043478260869565216, 'UNI_every': 0.043478260869565216, 'UNI_palate': 0.043478260869565216, 'UNI_waitstaff': 0.043478260869565216, 'UNI_great': 0.043478260869565216, 'UNI_knowledge': 0.043478260869565216, 'UNI_items': 0.043478260869565216, 'UNI_menu': 0.043478260869565216}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 13.88888888888889, 'liwc:positive': 1, 'UNI_italian': 0.05555555555555555, 'UNI_delicatessen': 0.027777777777777776, 'UNI_boasts': 0.027777777777777776, 'UNI_hot': 0.027777777777777776, 'UNI_daily': 0.027777777777777776, 'UNI_specials': 0.027777777777777776, 'UNI_the': 0.027777777777777776, 'UNI_sandwich': 0.027777777777777776, 'UNI_menu': 0.027777777777777776, 'UNI_good': 0.027777777777777776, 'UNI_they': 0.027777777777777776, 'UNI_excellent': 0.027777777777777776, 'UNI_imported': 0.027777777777777776, 'UNI_lunch': 0.027777777777777776, 'UNI_meats': 0.027777777777777776, 'UNI_nice': 0.08333333333333333, 'UNI_people': 0.027777777777777776, 'UNI_behind': 0.027777777777777776, 'UNI_counter': 0.027777777777777776, 'UNI_a': 0.027777777777777776, 'UNI_cool': 0.027777777777777776, 'UNI_place': 0.027777777777777776, 'UNI_hidden': 0.05555555555555555, 'UNI_within': 0.027777777777777776, 'UNI_confines': 0.027777777777777776, 'UNI_office': 0.027777777777777776, 'UNI_building': 0.027777777777777776, 'UNI_yet': 0.027777777777777776, 'UNI_another': 0.027777777777777776, 'UNI_gem': 0.027777777777777776, 'UNI_chicagoland': 0.027777777777777776, 'UNI_area': 0.027777777777777776}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 6.0606060606060606, 'liwc:positive': 1, 'UNI_excellent': 0.030303030303030304, 'UNI_dining': 0.030303030303030304, 'UNI_experience': 0.030303030303030304, 'UNI_the': 0.09090909090909091, 'UNI_atmosphere': 0.030303030303030304, 'UNI_fun': 0.030303030303030304, 'UNI_exciting': 0.030303030303030304, 'UNI_service': 0.030303030303030304, 'UNI_great': 0.030303030303030304, 'UNI_positively': 0.030303030303030304, 'UNI_freshest': 0.030303030303030304, 'UNI_sushi': 0.06060606060606061, 'UNI_ever': 0.030303030303030304, 'UNI_food': 0.030303030303030304, 'UNI_melts': 0.030303030303030304, 'UNI_mouth': 0.030303030303030304, 'UNI_wished': 0.030303030303030304, 'UNI_could': 0.030303030303030304, 'UNI_eat': 0.06060606060606061, 'UNI_presentation': 0.030303030303030304, 'UNI_ordered': 0.030303030303030304, 'UNI_beautiful': 0.030303030303030304, 'UNI_almost': 0.030303030303030304, "UNI_n't": 0.030303030303030304, 'UNI_want': 0.030303030303030304, 'UNI_we': 0.030303030303030304, 'UNI_going': 0.030303030303030304, 'UNI_back': 0.030303030303030304, 'UNI_soon': 0.030303030303030304}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 25.0, 'liwc:positive': 1, 'UNI_excellent': 0.25, 'UNI_value': 0.25, 'UNI_way': 0.25, 'UNI_around': 0.25}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 12.5, 'liwc:positive': 1, 'UNI_very': 0.125, 'UNI_enjoyable': 0.125, 'UNI_overall': 0.125, 'UNI_experience': 0.125, 'UNI_they': 0.125, 'UNI_accomadating': 0.125, 'UNI_food': 0.125, 'UNI_excellent': 0.125}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 6.896551724137931, 'liwc:positive': 1, 'UNI_great': 0.034482758620689655, 'UNI_little': 0.034482758620689655, 'UNI_lunch': 0.06896551724137931, 'UNI_spot': 0.034482758620689655, 'UNI_downtown': 0.034482758620689655, 'UNI_peoria': 0.034482758620689655, 'UNI_they': 0.034482758620689655, 'UNI_good': 0.034482758620689655, 'UNI_menu': 0.034482758620689655, 'UNI_soups': 0.034482758620689655, 'UNI_salads': 0.034482758620689655, 'UNI_sandwhiches': 0.034482758620689655, 'UNI_when': 0.034482758620689655, 'UNI_people': 0.034482758620689655, 'UNI_think': 0.06896551724137931, 'UNI_lindsay': 0.034482758620689655, 'UNI_pricey': 0.034482758620689655, 'UNI_high': 0.034482758620689655, 'UNI_class': 0.034482758620689655, 'UNI_restuarant': 0.034482758620689655, 'UNI_next': 0.034482758620689655, 'UNI_door': 0.034482758620689655, 'UNI_prices': 0.034482758620689655, 'UNI_bistro': 0.034482758620689655, 'UNI_reasonable': 0.034482758620689655, 'UNI_food': 0.034482758620689655, 'UNI_expect': 0.034482758620689655}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 33.333333333333336, 'liwc:positive': 1, 'UNI_best': 0.3333333333333333, 'UNI_restraunt': 0.3333333333333333, 'UNI_ever': 0.3333333333333333}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 8.88888888888889, 'liwc:positive': 1, 'UNI_lorenzo': 0.022222222222222223, 'UNI_best': 0.022222222222222223, 'UNI_homemade': 0.044444444444444446, 'UNI_italian': 0.022222222222222223, 'UNI_food': 0.022222222222222223, 'UNI_south': 0.022222222222222223, 'UNI_shore': 0.022222222222222223, 'UNI_i': 0.08888888888888889, 'UNI_going': 0.044444444444444446, 'UNI_almost': 0.022222222222222223, 'UNI_30': 0.022222222222222223, 'UNI_years': 0.022222222222222223, 'UNI_remember': 0.022222222222222223, 'UNI_kid': 0.022222222222222223, 'UNI_pizza': 0.022222222222222223, 'UNI_soda': 0.022222222222222223, 'UNI_brought': 0.022222222222222223, 'UNI_waitress': 0.022222222222222223, 'UNI_roller': 0.022222222222222223, 'UNI_skates': 0.022222222222222223, 'UNI_love': 0.022222222222222223, 'UNI_pasta': 0.022222222222222223, 'UNI_their': 0.022222222222222223, 'UNI_portion': 0.022222222222222223, 'UNI_size': 0.022222222222222223, 'UNI_right': 0.022222222222222223, 'UNI_family': 0.044444444444444446, 'UNI_5': 0.022222222222222223, 'UNI_great': 0.022222222222222223, 'UNI_meal': 0.022222222222222223, 'UNI_100': 0.022222222222222223, 'UNI_tell': 0.022222222222222223, 'UNI_friends': 0.022222222222222223, 'UNI_go': 0.022222222222222223, 'UNI_many': 0.022222222222222223, 'UNI_hooked': 0.022222222222222223, 'UNI_even': 0.022222222222222223, 'UNI_ones': 0.022222222222222223, 'UNI_state': 0.022222222222222223}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 7.142857142857143, 'liwc:positive': 1, 'UNI_food': 0.07142857142857142, 'UNI_is': 0.07142857142857142, 'UNI_da': 0.07142857142857142, 'UNI_bomb': 0.07142857142857142, 'UNI_inexpensive': 0.07142857142857142, 'UNI_great': 0.07142857142857142, 'UNI_service': 0.07142857142857142, 'UNI_and': 0.07142857142857142, 'UNI_of': 0.07142857142857142, 'UNI_course': 0.07142857142857142, 'UNI_it': 0.07142857142857142, 'UNI_in': 0.07142857142857142, 'UNI_daly': 0.07142857142857142, 'UNI_city': 0.07142857142857142}
